Store,Date,IsHoliday,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,SalesGroup
1,2010-02-05,False,1643690.9,42.30999999999996,2.572000000000002,211.09635820000028,8.105999999999996,A
1,2010-02-12,True,1641957.4399999997,38.510000000000055,2.5480000000000014,211.24216979999986,8.105999999999996,A
1,2010-02-19,False,1612831.17,39.92999999999997,2.514000000000002,211.2891428999997,8.105999999999996,A
1,2010-02-26,False,1409727.5900000003,46.63000000000008,2.561000000000005,211.3196429,8.105999999999996,B
1,2010-03-05,False,1554806.68,46.5,2.625,211.35014290000026,8.105999999999996,A
1,2010-03-12,False,1440239.5900000005,57.78999999999998,2.667000000000001,211.38064289999977,8.105999999999996,B
1,2010-03-19,False,1472515.7899999998,54.579999999999956,2.7199999999999993,211.21563500000036,8.105999999999996,B
1,2010-03-26,False,1404429.9200000004,51.44999999999994,2.7319999999999998,211.01804239999962,8.105999999999996,B
1,2010-04-02,False,1594968.2799999998,62.27000000000003,2.7189999999999963,210.8204499000002,7.8079999999999945,A
1,2010-04-09,False,1545418.5300000005,65.85999999999999,2.7700000000000027,210.62285739999982,7.8079999999999945,A
1,2010-04-16,False,1466058.28,66.32000000000001,2.8079999999999994,210.4886999999999,7.8079999999999945,B
1,2010-04-23,False,1391256.12,64.84000000000007,2.7949999999999964,210.4391228000003,7.8079999999999945,B
1,2010-04-30,False,1425100.7100000002,67.40999999999993,2.7800000000000007,210.3895455999996,7.8079999999999945,B
1,2010-05-07,False,1603955.1200000003,72.5500000000001,2.8350000000000013,210.33996839999975,7.8079999999999945,A
1,2010-05-14,False,1494251.5000000002,74.78000000000002,2.8540000000000045,210.33742610000033,7.8079999999999945,B
1,2010-05-21,False,1399662.0700000003,76.43999999999994,2.8259999999999956,210.61709340000013,7.8079999999999945,B
1,2010-05-28,False,1432069.9500000002,80.43999999999993,2.7589999999999955,210.89676060000016,7.8079999999999945,B
1,2010-06-04,False,1615524.71,80.68999999999993,2.705000000000003,211.17642779999963,7.8079999999999945,A
1,2010-06-11,False,1542561.09,80.43000000000005,2.668000000000004,211.4560951000002,7.8079999999999945,A
1,2010-06-18,False,1503284.0599999998,84.10999999999994,2.637,211.4537719,7.8079999999999945,A
